candidate,count,final,score
拜拉席恩,9,91.49299427770346,10.165888253078162
勇敢,8,91.46570611428486,11.433213264285607
盖瑞,9,91.21130175695909,10.134589084106565
一次,19,90.89998521009475,4.784209747899724
王大道,11,90.79782230178158,8.254347481980144
的天鹅绒,6,90.65848646840837,15.109747744734728
优雅,6,90.479696646172,15.079949441028667
南下,14,90.4213349671008,6.458666783364343
终于,11,90.39795566705382,8.217995969732165
个星期,7,90.24902705202933,12.892718150289905
真正,16,89.63800891976257,5.602375557485161
奶妈,8,89.61575202431278,11.201969003039098
脸上,20,89.56202615669065,4.478101307834533
羊毛,8,89.06235595945337,11.132794494931671
抓住,10,88.8008262630604,8.88008262630604
脸颊,9,88.56297336598377,9.840330373998196
静静,13,88.38899930503798,6.79915379269523
的恐惧,8,88.37690250091802,11.047112812614753
石像鬼,8,88.26945677312261,11.033682096640327
高耸,10,88.20681087035885,8.820681087035885
洛西,11,88.14864016452361,8.01351274222942
校场,7,88.1308680270521,12.590124003864586
金色,14,88.09650580752647,6.292607557680462
一直,18,87.75449351098477,4.875249639499154
相信,12,87.54057951006874,7.295048292505728
随即,10,87.36270898835335,8.736270898835334
一条,13,87.14118209814751,6.703167853703655
鲁温学,11,87.13547422763996,7.92140674796727
不喜欢,8,86.96259064567218,10.870323830709022
倘若,7,86.59316879423301,12.37045268489043
那些,15,84.96692866568362,5.664461911045575
雷加,10,84.75382343070524,8.475382343070525
恐怕,10,84.65037148009745,8.465037148009745
漆黑,8,84.56246684136164,10.570308355170205
看见,20,84.55211658439384,4.2276058292196925
保证,8,84.54634266996149,10.568292833745186
考虑,6,84.46593243608976,14.07765540601496
的肩膀,8,84.32176500356225,10.540220625445281
徒利家,9,84.15493548122036,9.350548386802263
是什么,12,84.00062022539419,7.000051685449515
莱安娜,6,83.85637031591007,13.976061719318345
选择,6,83.75297890751733,13.958829817919554
认为,11,83.31848173782654,7.574407430711505
城墙,14,83.2685744088551,5.947755314918222
托曼,6,82.479696646172,13.746616107695333
轮宫,7,82.45855307688831,11.77979329669833
结束,7,82.18205055627843,11.740292936611205
的视线,7,82.15772755856489,11.736818222652126
曾经,9,82.13247170095187,9.125830188994652
其中,15,82.0898144295204,5.472654295301361
有不少,7,81.90475417148352,11.700679167354789
甚至,7,81.4142818303031,11.630611690043299
记得,14,81.00921806005445,5.7863727185753175
古老,12,80.93696927204374,6.744747439336978
仆人,11,80.82456708599553,7.347687916908685
家徽,8,80.53532881540866,10.066916101926083
附近,6,80.3663003675076,13.394383394584601
项链,6,80.24320390319038,13.373867317198396
留在,15,80.22027827838143,5.348018551892095
莉丝,11,80.17801286923229,7.288910260839299
蜂蜜,6,79.77947636460213,13.296579394100355
消失,8,79.73390522202088,9.96673815275261
只剩,10,79.7115140918603,7.971151409186029
威玛爵,8,79.66513386034666,9.958141732543332
的笑容,8,79.6150659572255,9.951883244653187
非常,8,79.59237838833522,9.949047298541903
境守护,7,79.44684997907319,11.349549997010456
搜索,6,79.44115538858773,13.240192564764621
疯狂,7,79.40686431412479,11.343837759160685
守护,11,79.2376070513535,7.203418822850319
一件,13,79.19044323361669,6.091572556432053
屋顶,8,79.0359093313668,9.87948866642085
如同,14,78.96390572661119,5.640278980472228
姐姐,9,78.92017742066827,8.768908602296474
温学士,11,78.65334779643226,7.1503043451302055
眼前,18,78.55863060331032,4.364368366850574
狭海,8,78.45523553528395,9.806904441910493
宝剑,10,78.32641770684107,7.832641770684107
巡逻,5,78.1965372826566,15.63930745653132
艾德,11,78.05019846237914,7.095472587489013
畸形,6,77.79324057468435,12.965540095780725
太阳,8,77.58544438067757,9.698180547584696
柠檬,5,77.51170931182558,15.502341862365116
血液,7,77.4977770401052,11.071111005729314
之后,16,77.44198622429903,4.840124139018689
闪闪,11,77.36052571231224,7.032775064755658
一副,11,77.32942698760905,7.029947907964459
闪闪发,9,77.00965032392926,8.556627813769918
审视,6,76.79450116553681,12.799083527589469
一辈子,9,76.71231713793429,8.52359079310381
句话,9,76.66121703461383,8.517913003845981
剑柄,9,76.6157700112954,8.512863334588378
感觉到,11,76.56708789652951,6.960644354229956
的眼神,9,76.079446731004,8.453271859000445
先前,13,76.05122396465913,5.850094151127625
容易,8,75.99173132840242,9.498966416050303
哨兵树,6,75.9248017465859,12.654133624430983
的弟弟,8,75.6720913189187,9.459011414864838
墓窖,6,75.54768645803995,12.591281076339992
漂亮,7,75.53886640488187,10.79126662926884
忍不住,7,75.3114081104607,10.758772587208671
打量,10,75.15672657982489,7.515672657982489
惟一,10,74.23666955394846,7.423666955394846
身份,10,74.22668661174407,7.4226686611744075
部分,9,74.1645478386581,8.240505315406455
景象,8,74.08755043874844,9.260943804843555
一片,13,74.03354903264405,5.694888387126465
明白,11,74.00345611691831,6.727586919719847
绝境,11,73.93525720252906,6.721387018411733
祈祷,5,73.8241916930759,14.764838338615181
盯着,8,73.75429751495012,9.219287189368766
华丽,6,73.7110449339263,12.285174155654383
高兴,11,73.59906474961608,6.690824068146917
返回,6,73.54768645803996,12.25794774300666
的阴影,7,73.53379755741857,10.504828222488367
办法,7,73.38957673642768,10.484225248061097
危险,5,73.36646228409892,14.673292456819784
体内,8,72.86687945278396,9.108359931597995
恐怖,6,72.66499746818762,12.110832911364604
拒绝,6,72.27767337139852,12.046278895233087
地看着,12,72.06834796379749,6.005695663649791
披风,8,72.00072728343952,9.00009091042994
脸庞,7,71.7887490380672,10.255535576866743
第二,7,71.78248817332694,10.254641167618134
的手指,11,71.47066367602271,6.49733306145661
难道,13,71.33219621023966,5.487092016172281
这辈子,8,71.2824596704715,8.910307458808937
五指半岛,5,71.23580434046401,14.247160868092804
越来越,5,70.85945764450872,14.171891528901744
交给,10,70.49201994271661,7.0492019942716615
笼罩,6,70.37946366625798,11.729910611042996
鱼梁木,6,70.37306286543162,11.728843810905271
带着,15,70.35903253149816,4.690602168766544
在她身,12,70.15909054954544,5.846590879128787
的呼吸,5,70.089133009579,14.0178266019158
孩子们,13,69.99266566293056,5.384051204840812
胸膛,5,69.86426369339345,13.972852738678691
巨大,12,69.81420267590414,5.817850222992012
或许,9,69.52699137971408,7.725221264412674
尸体,6,69.44468021777558,11.574113369629263
启程,5,69.25890755566515,13.85178151113303
回忆,8,69.18870217550244,8.648587771937805
米凯,7,69.14446423859117,9.877780605513024
的队伍,6,69.01991970948065,11.503319951580108
黑色,16,68.96267837398379,4.310167398373987
七大王国,6,68.95418259792717,11.492363766321194
许多,11,68.76454292657341,6.251322084233947
在她身边,8,68.70218593669995,8.587773242087493
天鹅,7,68.64586259787973,9.806551799697104
貂皮,6,68.53666150607606,11.422776917679343
卖给,7,68.50895610887292,9.78699372983899
兵器库,5,68.23180323408943,13.646360646817886
徒利,10,68.04760766031151,6.804760766031151
其实,11,67.98364185555877,6.180331077778071
负责,5,67.7689723331412,13.553794466628242
哪天,9,67.66821925518205,7.518691028353562
瑞肯,7,67.34230378707187,9.620329112438839
奔流,11,67.05537901535955,6.095943546850868
每次,9,67.03216319888509,7.4480181332094535
那么,14,66.98611623685218,4.784722588346584
的儿子,9,66.95602361813535,7.439558179792817
铁卫,10,66.94652508126259,6.694652508126259
的男孩,8,66.84229612489682,8.355287015612102
命名日,6,66.82174457878291,11.136957429797151
并肩,8,66.73242504817998,8.341553131022497
山脊,5,66.55606564885163,13.311213129770326
拜拉,10,66.55485906347246,6.655485906347247
泰温公爵,6,66.49613292889052,11.082688821481753
的妹妹,7,66.4590254784534,9.494146496921914
碧眼,6,66.13553741541975,11.022589569236624
勉强,5,66.11875144259994,13.223750288519987
抵达,6,66.05916367202721,11.009860612004536
此刻,9,65.9208282342842,7.324536470476023
御林,10,65.87151278396706,6.587151278396707
圣堂,6,65.83381907110095,10.972303178516825
浓密,6,65.74700403381155,10.95783400563526
葡萄酒,6,65.73255347613936,10.95542557935656
的葡萄,5,65.65775353205476,13.13155070641095
覆盖,5,65.63125314524585,13.12625062904917
脚步,9,65.43788878483144,7.270876531647938
一只手,11,65.26369373128314,5.933063066480285
璀璨,4,65.20936744946046,16.302341862365115
的事情,9,65.15653256687503,7.239614729652781
中央,6,65.12589289304273,10.854315482173789
丹妮莉,11,65.02158654855202,5.911053322595638
